DeviceId,enter_date,enter_time,leave_time,length_minutes
0063d6e4b557346a1b94483f4d496f5f,2022/05/10,2022-05-10T04:57:43.000Z,2022-05-10T14:18:05.000Z,560
0063d6e4b557346a1b94483f4d496f5f,2022/05/14,2022-05-14T04:57:43.000Z,2022-05-14T14:38:46.000Z,581
0063d6e4b557346a1b94483f4d496f5f,2022/05/15,2022-05-15T14:27:25.000Z,2022-05-15T21:29:49.000Z,422
00676dd83de935194c233eb205727062,2022/05/10,2022-05-10T21:53:53.000Z,2022-05-10T22:50:36.000Z,57
00676dd83de935194c233eb205727062,2022/05/11,2022-05-11T15:24:21.000Z,2022-05-11T17:18:05.000Z,114
0073bde2949fe92cd91b923929edb250,2022/05/14,2022-05-14T01:42:17.000Z,2022-05-14T15:58:42.000Z,856
00746d4caac0c1c177d695bf179223c5,2022/05/13,2022-05-13T11:30:06.000Z,2022-05-13T15:47:22.000Z,257
00746d4caac0c1c177d695bf179223c5,2022/05/14,2022-05-14T17:51:18.000Z,2022-05-14T21:08:46.000Z,197
0078e2bef2f33584dc39ce6e9dd1adaa,2022/05/14,2022-05-14T21:47:53.000Z,2022-05-14T22:38:23.000Z,51
007d7a734294c73a53851d5b5b4c8ec9,2022/05/09,2022-05-09T06:51:02.000Z,2022-05-09T07:00:25.000Z,9
007d7a734294c73a53851d5b5b4c8ec9,2022/05/10,2022-05-10T04:29:12.000Z,2022-05-10T07:18:27.000Z,169
007d7a734294c73a53851d5b5b4c8ec9,2022/05/11,2022-05-11T05:19:18.000Z,2022-05-11T08:14:23.000Z,175
009ef4b15eadd773468cd2bfdff6eb54,2022/05/09,2022-05-09T11:37:25.000Z,2022-05-09T20:28:31.000Z,531
009ef4b15eadd773468cd2bfdff6eb54,2022/05/10,2022-05-10T11:36:46.000Z,2022-05-10T23:30:55.000Z,714
009ef4b15eadd773468cd2bfdff6eb54,2022/05/11,2022-05-11T01:24:18.000Z,2022-05-11T23:44:29.000Z,1340
009ef4b15eadd773468cd2bfdff6eb54,2022/05/13,2022-05-13T19:59:53.000Z,2022-05-13T22:20:20.000Z,140
009ef4b15eadd773468cd2bfdff6eb54,2022/05/14,2022-05-14T12:00:58.000Z,2022-05-14T19:42:47.000Z,462
00a230a94b49d1f10100c28b09b86545,2022/05/11,2022-05-11T21:26:43.000Z,2022-05-11T21:42:39.000Z,16
00bdc27491c4d1c0a000824cf86f6ecb,2022/05/09,2022-05-09T12:32:11.000Z,2022-05-09T19:13:32.000Z,401
00bdc27491c4d1c0a000824cf86f6ecb,2022/05/13,2022-05-13T15:08:50.000Z,2022-05-13T16:18:19.000Z,69
00bdc27491c4d1c0a000824cf86f6ecb,2022/05/14,2022-05-14T15:08:50.000Z,2022-05-14T17:08:40.000Z,120
00ee38c563723f8b8b523617e771c4dd,2022/05/10,2022-05-10T21:43:03.000Z,2022-05-10T23:23:58.000Z,101
00ee38c563723f8b8b523617e771c4dd,2022/05/12,2022-05-12T05:21:07.000Z,2022-05-12T23:04:00.000Z,1063
00fcc4d3b70631a67843a111ecf611a3,2022/05/09,2022-05-09T02:29:51.000Z,2022-05-09T04:14:21.000Z,104
0100afccb6b1bab0db2890617c6e0805,2022/05/12,2022-05-12T17:58:11.000Z,2022-05-12T18:34:23.000Z,36
0101b5ac10be722291c41a63b9b59b4d,2022/05/10,2022-05-10T18:35:17.000Z,2022-05-10T18:46:05.000Z,11
0102128307646f9df8841d7a3eb11f8d,2022/05/09,2022-05-09T02:04:15.000Z,2022-05-09T18:25:31.000Z,981
0102128307646f9df8841d7a3eb11f8d,2022/05/11,2022-05-11T01:08:51.000Z,2022-05-11T15:45:39.000Z,877
0102c6fe9064deaf5924c25e92ebe6ce,2022/05/11,2022-05-11T15:27:40.000Z,2022-05-11T23:32:24.000Z,485
0102c6fe9064deaf5924c25e92ebe6ce,2022/05/15,2022-05-15T15:27:40.000Z,2022-05-15T23:37:49.000Z,490
01056897941df9e8c885ab6933d7a33d,2022/05/13,2022-05-13T00:01:08.000Z,2022-05-13T11:06:34.000Z,665
010835761ae2df902c8e2904b66c0476,2022/05/15,2022-05-15T19:30:12.000Z,2022-05-15T20:15:15.000Z,45
010a05308d8eeee71ed59045f61eec89,2022/05/15,2022-05-15T12:54:04.000Z,2022-05-15T13:05:25.000Z,11
010ce6287f411a5b6e3314d677044f23,2022/05/13,2022-05-13T20:01:14.000Z,2022-05-13T21:12:59.000Z,72
0110140a57a43c3a30ad616e5f3563df,2022/05/13,2022-05-13T15:32:46.000Z,2022-05-13T15:40:11.000Z,7
011a4de4d36c649940931bbdf5329242,2022/05/09,2022-05-09T13:20:30.000Z,2022-05-09T20:18:02.000Z,418
